Trade_ID,Symbol,Entry_Date,Entry,SL,Target,Status,Exit_Date,Exit_Price,Bars_Held,Result,Return_%,MFE_%,MAE_%
ADANIENT_2026-09-10,ADANIENT,2026-09-10,3077.2,3031.042,3169.516,CLOSED,,,0,,,0.0,0.0
ADANIENT_2026-09-11,ADANIENT,2026-09-11,3060.0,3014.1,3151.8,CLOSED,,,0,,,0.0,0.0
KOTAKBANK_2026-09-11,KOTAKBANK,2026-09-11,419.0,412.715,431.57,CLOSED,,,0,,,0.0,0.0
HDFCBANK_2026-09-15,HDFCBANK,2026-09-15,716.55,705.8017,738.0465,CLOSED,,,0,,,2.4074,-0.7955
HDFCBANK_2026-09-16,HDFCBANK,2026-09-16,721.5,710.6775,743.145,OPEN,,,0,,,2.9314,-1.1781
ITC_2026-09-17,ITC,2026-09-17,266.2,262.207,274.186,OPEN,,,0,,,0.6574,-1.4651
BHARTIARTL_2026-09-18,BHARTIARTL,2026-09-18,1893.3,1864.9005,1950.099,CLOSED,,,0,,,0.0,0.0
HDFCBANK_2026-09-18,HDFCBANK,2026-09-18,731.0,720.035,752.93,OPEN,,,0,,,1.5937,-0.2668
ADANIENT_2026-09-18,ADANIENT,2026-09-18,3020.0,2974.7,3110.6,CLOSED,,,0,,,0.0,0.0
VBL_2026-09-18,VBL,2026-09-18,421.95,415.6207,434.6085,OPEN,,,0,,,2.1804,0.0
ITC_2026-09-21,ITC,2026-09-21,267.0,262.995,275.01,OPEN,,,0,,,0.0,0.0
HDFCBANK_2026-09-21,HDFCBANK,2026-09-21,739.5,728.4075,761.685,OPEN,,,0,,,0.0,0.0
VBL_2026-09-21,VBL,2026-09-21,425.0,418.625,437.75,OPEN,,,0,,,0.0,0.0
